0	0
0.00336	0.01071
0.00567	0.0132
0.01041	0.01719
0.02257	0.0246
0.04727	0.03544
0.07218	0.04379
0.09718	0.05063
0.14735	0.06138
0.19765	0.06929
0.248	0.07499
0.2984	0.07872
0.34882	0.08059
0.39924	0.08062
0.44964	0.07894
0.5	0.07567
0.55031	0.07125
0.60057	0.06562
0.65076	0.05899
0.70087	0.05153
0.75089	0.04344
0.80084	0.03492
0.8507	0.02618
0.90049	0.01739
0.95023	0.00881
1	0
0	0
0.00664	-0.00871
0.00933	-0.0104
0.01459	-0.01291
0.02743	-0.01716
0.05273	-0.0228
0.07782	-0.02685
0.10282	-0.02995
0.15265	-0.03446
0.20235	-0.03745
0.252	-0.03919
0.3016	-0.03984
0.351118	-0.03939
0.40076	-0.03778
0.45035	-0.03514
0.5	-0.03164
0.54969	-0.02745
0.59943	-0.02278
0.64924	-0.01799
0.69913	-0.01265
0.74911	-0.00764
0.79916	-0.00308
0.8493	0.00074
0.89951	0.00329
0.94977	0.0033
1	0

